sample_id	genotype_id	phenotype	file_name	md5	URL
NA12249_RPB2	NA12249	RPB2	E-MTAB-3657.IP_12249_RPB2_120515_6_sorted.bam	751a1882e93d4b1c6076730d1d614736	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12249_RPB2_120515_6_sorted.bam
NA12275_H3K27ac	NA12275	H3K27ac	E-MTAB-3657.IP_12275_H3K27ac_merge_sorted.bam	e9c315f17d8cb120e1a3635706db8a99	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12275_H3K27ac_merge_sorted.bam
NA12275_H3K4me1	NA12275	H3K4me1	E-MTAB-3657.IP_12275_H3K4me1_merge_sorted.bam	1bd9a1a36fa1e9f5dce44fbd4e22c20b	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12275_H3K4me1_merge_sorted.bam
NA12275_H3K4me3	NA12275	H3K4me3	E-MTAB-3657.IP_12275_H3K4me3_merge_sorted.bam	f546a3ac3861823fd99a672ccfd0601e	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12275_H3K4me3_merge_sorted.bam
NA12275_PU1	NA12275	PU1	E-MTAB-3657.IP_12275_PU1_120605_3_sorted.bam	e9ec5f3c07a63e26b76b8253a2ec7008	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12275_PU1_120605_3_sorted.bam
NA12275_RPB2	NA12275	RPB2	E-MTAB-3657.IP_12275_RPB2_120515_2_sorted.bam	f567af4dd400960a8c7b147cb8b0f8dc	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12275_RPB2_120515_2_sorted.bam
NA12282_H3K27ac	NA12282	H3K27ac	E-MTAB-3657.IP_12282_H3K27ac_120628_4_sorted.bam	a1b46eee1387f802993415b310f4bcc2	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12282_H3K27ac_120628_4_sorted.bam
NA12282_H3K4me1	NA12282	H3K4me1	E-MTAB-3657.IP_12282_H3K4me1_merge_sorted.bam	e42e17e96713712d754dcbcb9107416a	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12282_H3K4me1_merge_sorted.bam
NA12282_H3K4me3	NA12282	H3K4me3	E-MTAB-3657.IP_12282_H3K4me3_120521_7_sorted.bam	9bebdaad1c82e4fadd462ceeb76b9f2f	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12282_H3K4me3_120521_7_sorted.bam
NA12282_PU1	NA12282	PU1	E-MTAB-3657.IP_12282_PU1_120521_7_sorted.bam	76ca51409a74357c8ccbfbb68a2c1ae2	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12282_PU1_120521_7_sorted.bam
NA12282_RPB2	NA12282	RPB2	E-MTAB-3657.IP_12282_RPB2_120515_2_sorted.bam	5b28b6ef383feecb83af4b2eab21e22e	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3657/E-MTAB-3657.IP_12282_RPB2_120515_2_sorted.bam
