study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	library_layout	fastq_ftp
PRJEB1350	ERP002168	SAMEA1946043	ERS037322	ERX664191	ERR720269	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720269/ERR720269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720269/ERR720269_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1944367	ERS037326	ERX664192	ERR720270	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720270/ERR720270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720270/ERR720270_2.fastq.gz
PRJEB1350	ERP002168	SAMEA2033962	ERS037328	ERX664193	ERR720271	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720271/ERR720271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720271/ERR720271_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1946044	ERS037337	ERX664194	ERR720272	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720272/ERR720272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720272/ERR720272_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1945967	ERS037339	ERX664195	ERR720273	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720273/ERR720273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720273/ERR720273_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706501	ERS037301	ERX664196	ERR720274	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720274/ERR720274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720274/ERR720274_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706503	ERS037303	ERX664197	ERR720275	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720275/ERR720275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720275/ERR720275_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1945966	ERS037321	ERX664198	ERR720276	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720276/ERR720276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720276/ERR720276_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1946043	ERS037322	ERX664199	ERR720277	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720277/ERR720277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720277/ERR720277_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1944367	ERS037326	ERX664200	ERR720278	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720278/ERR720278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720278/ERR720278_2.fastq.gz
PRJEB1350	ERP002168	SAMEA2033962	ERS037328	ERX664201	ERR720279	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720279/ERR720279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720279/ERR720279_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1946042	ERS037319	ERX664202	ERR720280	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720280/ERR720280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720280/ERR720280_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1944366	ERS037323	ERX664203	ERR720281	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720281/ERR720281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720281/ERR720281_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1944368	ERS037332	ERX664204	ERR720282	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720282/ERR720282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720282/ERR720282_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1944501	ERS037347	ERX664205	ERR720283	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720283/ERR720283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720283/ERR720283_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1946026	ERS037348	ERX664206	ERR720284	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720284/ERR720284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720284/ERR720284_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1946045	ERS037352	ERX664207	ERR720285	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720285/ERR720285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720285/ERR720285_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1944368	ERS037332	ERX664208	ERR720286	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720286/ERR720286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720286/ERR720286_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1944500	ERS037344	ERX664209	ERR720287	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720287/ERR720287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720287/ERR720287_2.fastq.gz
PRJEB1350	ERP002168	SAMEA1706495	ERS037295	ERX664210	ERR720288	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720288/ERR720288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720288/ERR720288_2.fastq.gz
